version,submission_id,episode_id,create_time,seat,opponent_submission,opponent_rating,our_rating_before,our_rating_after,won,went_first,opponent_family,opponent_deck_hash,exact_mirror,wall_family,turns,our_turns,our_prize_left,opp_prize_left,our_deck_left,opp_deck_left,our_bodies_left,board_out,deck_out,first_ready_turn,first_shadow_turn,first_attack_turn,opp_first_attack_turn,own_first_shadow_turn,own_first_ready_turn,gate_violation,shadow_attacks,attacks,grim_evolutions,rare_candies,adrena_brains,froslass_actions,froslass_true_evolutions,stamps,bosses,lillies,our_decisions,our_multi_pick,our_ends,our_overage_start,our_overage_end,our_overage_used,opp_overage_used,odd_status,steps
v22_b,55483874,92674589,2026-08-13T14:27:46.923162600Z,1,55478881,1027.1772,983.2124,1000.9013,1,second,Alakazam,b1f287b8d98881f8,0,0,14,7,1,3,10,3,5,0,0,4,4,4,7,2,2,0,4,5,1,2,6,6,2,2,2,2,105,3,2,600.0,587.1487230000007,12.851,24.323,,205
v22_b,55483874,92675511,2026-08-13T14:31:46.824860800Z,0,55417796,1017.1542,970.7054,959.3137,0,first,Mega Lopunny / Froslass,a7ee29914c1dce64,0,0,16,8,2,2,14,2,4,0,0,5,5,5,2,3,3,0,6,6,2,1,5,1,1,1,1,3,96,3,2,600.0,587.6923660000003,12.308,379.149,,210
v22_b,55483874,92676506,2026-08-13T14:35:46.936238900Z,1,55471252,734.5618,1000.9013,970.7054,0,second,Mega Lucario,c3c16f0e65487ad6,0,0,13,6,1,2,16,8,4,0,0,10,10,4,3,5,5,0,2,4,1,0,3,7,2,1,1,1,88,3,2,600.0,588.2990740000006,11.701,2.818,,171
v22_b,55483874,92677432,2026-08-13T14:39:46.731652800Z,1,55352762,946.8826,959.3137,971.7135,1,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,1,2,16,22,5,0,0,4,4,4,5,2,2,0,5,5,2,1,11,0,0,2,0,2,124,4,1,600.0,584.9537260000005,15.046,18.059,,235
v22_b,55483874,92678380,2026-08-13T14:43:53.707652Z,0,55455390,983.8616,971.7135,984.6586,1,first,Alakazam,cc38cb450b86770a,0,0,10,5,1,4,20,28,6,0,0,3,3,3,4,2,2,0,4,4,2,1,3,5,2,2,1,2,81,7,1,600.0,586.2528450000001,13.747,31.722,,139
v22_b,55483874,92679101,2026-08-13T14:47:46.573141Z,1,55445629,844.456,984.6586,991.2683,1,second,Dragapult,202ee2cec6cbe8b4,0,0,12,6,1,6,22,38,6,0,0,4,4,2,,2,2,0,5,6,1,1,1,5,1,0,0,2,57,2,0,600.0,591.6638070000005,8.336,1.167,,93
v22_b,55483874,92680243,2026-08-13T14:51:47.967263300Z,1,54929072,425.9386,991.2683,991.4962,1,first,Archaludon,3c412a8f12eabe8c,0,0,5,3,6,6,22,33,6,0,0,5,5,5,2,3,3,0,1,1,1,0,4,9,1,0,0,2,57,2,2,600.0,590.2580970000001,9.742,1.87,,76
v22_b,55483874,92681128,2026-08-13T14:55:46.423934900Z,0,55484274,995.1799,991.4962,980.4546,0,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,12,6,1,2,14,23,4,0,0,5,5,5,6,3,3,0,4,4,3,1,4,5,1,1,0,3,101,7,2,600.0,587.4752909999996,12.525,3.944,,207
v22_b,55483874,92681172,2026-08-13T14:55:46.500051Z,0,55480116,967.9939,980.4546,969.0016,0,first,Dragapult,202ee2cec6cbe8b4,0,0,10,5,4,1,24,14,3,0,0,5,5,5,2,3,3,0,2,2,1,0,4,0,0,2,0,2,69,2,3,600.0,590.3166939999999,9.683,17.427,,196
v22_b,55483874,92682163,2026-08-13T14:59:47.201589400Z,0,55484578,907.1659,969.0016,977.1766,1,first,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,11,6,2,4,22,31,6,0,0,5,5,5,6,3,3,0,4,4,2,1,7,0,0,2,1,2,98,2,2,600.0,587.2748650000002,12.725,2.685,,155
