adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
8,1,0,2026-08-12T03:51:36.281365800Z,92191615,14,14,14,4,1,27,7,5,cc38cb450b86770a,Alakazam,921.9007,55287546,6,25,1,988.9454,7,7,7,0,1,1,2,15,v20,False,True
4,3,0,2026-08-12T03:55:36.328347900Z,92192672,7,7,7,8,3,22,4,2,a7ee29914c1dce64,Mega Lopunny / Froslass,1008.8367,55431225,4,18,2,994.3233,6,4,4,2,0,3,1,12,v20,True,False
1,3,0,2026-08-12T04:03:36.199586300Z,92194308,2,4,4,3,2,23,3,1,927345d73c1a1614,Ogerpon,1017.2827,55447041,4,22,4,987.8504,4,2,2,2,1,2,0,9,v20,False,False
8,4,0,2026-08-13T09:52:18.017392300Z,92610837,9,9,9,1,3,21,8,1,9714ab5c3996f6cc,Grimmsnarl (mirror),,55479857,3,19,2,,8,5,5,0,0,4,1,16,v22_a,True,False
1,2,0,2026-08-13T09:55:37.324188700Z,92610946,3,3,3,4,1,37,,6,94350ed7ee3a80b1,Alakazam,724.634,55449636,6,32,4,600.0,3,2,2,1,1,2,1,5,v22_a,True,True
6,3,0,2026-08-13T09:59:37.595766500Z,92611852,5,5,5,7,2,20,2,4,cc38cb450b86770a,Alakazam,535.031,54689975,6,21,1,747.9714,5,3,3,1,0,3,0,9,v22_a,True,True
2,4,1,2026-08-13T10:03:37.786344300Z,92612806,4,4,4,3,2,27,9,5,c7f1cd6579e2b0e8,other: Team Rocket's Mewtwo ex,603.4732,54955274,6,23,1,794.9619,6,2,2,1,1,4,2,12,v22_a,False,True
8,1,0,2026-08-13T10:07:37.871980700Z,92613745,6,6,6,8,1,40,3,6,ee1681b277e66413,Archaludon,482.7813,54168653,6,29,4,838.5042,4,3,3,0,1,1,1,8,v22_a,False,True
6,6,1,2026-08-13T10:11:37.841158700Z,92614685,2,6,6,4,2,9,5,2,45fe95772327f96a,Kangaskhan / Crustle,722.3764,55452770,6,10,1,854.6615,8,3,3,2,1,5,1,16,v22_a,False,True
10,5,1,2026-08-13T10:15:37.327954600Z,92615639,5,5,5,7,3,13,2,1,2b6a7dd699d2b6a5,Archaludon,955.8469,55479757,6,10,2,896.9102,7,3,3,1,1,5,2,13,v22_a,True,True
